1.400000000000000148e-05 1.770797303597413980e-05 2.239802207448480601e-05 2.833025506815220896e-05 3.583367091779351055e-05 4.532440559944700870e-05 5.732881087332598809e-05 7.251264550923699126e-05 9.171799796033713295e-05 1.160099881996558058e-04 1.467358387816559452e-04 1.855995911826153360e-04 2.347566111535411861e-04 2.969331243088266714e-04 3.755774113391618279e-04 4.750510480653462341e-04 6.008707964180290580e-04 7.600145615053404248e-04 9.613083830060198225e-04 1.215915923251894128e-03 1.537957598782582064e-03 1.945293692122392450e-03 2.460514874796710348e-03 3.112195075536674464e-03 3.936476177163923673e-03 4.979072428712380018e-03 6.297805736557222402e-03 7.965812440625620258e-03 1.007559942201612969e-02 1.274417449188130526e-02 1.611953559057027405e-02 2.038887868501742390e-02 2.578897957057403253e-02 3.261932534721521254e-02 4.125872383572533331e-02 5.218631208440918656e-02 6.600812908840353321e-02 8.349072643232501034e-02 1.056036808869647292e-01 1.335733666889992177e-01 1.689509696895060420e-01 2.136985154045326907e-01 2.702976820436549521e-01 3.418874332368110336e-01 4.324381035068479151e-01 5.469715911876469328e-01 6.918398705853374686e-01 8.750772695383567390e-01 1.106846049527078213e+00 1.400000000000000133e+00
7.613999999999999657e-01 7.620500000000000052e-01 7.613999999999999657e-01 7.635499999999999510e-01 7.653999999999999693e-01 7.668000000000000371e-01 7.671999999999999931e-01 7.681999999999999940e-01 7.703999999999999737e-01 7.711000000000000076e-01 7.736499999999999488e-01 7.742499999999999938e-01 7.769000000000000350e-01 7.778000000000000469e-01 7.803499999999999881e-01 7.861500000000000155e-01 7.855499999999999705e-01 7.852000000000000091e-01 7.889500000000000401e-01 7.929500000000000437e-01 7.970500000000000362e-01 7.998499999999999499e-01 8.049500000000000544e-01 8.040500000000000425e-01 8.091000000000000414e-01 8.141500000000000403e-01 8.156499999999999861e-01 8.241500000000000492e-01 8.256999999999999895e-01 8.286999999999999922e-01 8.349499999999999700e-01 8.368999999999999773e-01 8.441999999999999504e-01 8.504000000000000448e-01 8.586500000000000243e-01 8.706500000000000350e-01 8.897000000000000464e-01 9.253000000000000114e-01 9.634500000000000286e-01 9.879499999999999948e-01 9.958000000000000185e-01 9.981499999999999817e-01 9.989000000000000101e-01 9.992999999999999661e-01 9.995000000000000551e-01 9.995500000000000496e-01 9.997000000000000330e-01 9.997500000000000275e-01 9.997500000000000275e-01 9.998000000000000220e-01
7.657000000000000473e-01 7.679500000000000215e-01 7.664999999999999591e-01 7.691999999999999948e-01 7.703499999999999792e-01 7.714999999999999636e-01 7.734499999999999709e-01 7.733499999999999819e-01 7.764999999999999680e-01 7.763499999999999845e-01 7.796999999999999487e-01 7.804499999999999771e-01 7.830000000000000293e-01 7.835499999999999687e-01 7.861000000000000210e-01 7.913499999999999979e-01 7.906999999999999584e-01 7.904499999999999860e-01 7.943500000000000005e-01 7.977999999999999536e-01 8.024999999999999911e-01 8.048499999999999543e-01 8.096499999999999808e-01 8.093500000000000139e-01 8.143000000000000238e-01 8.194000000000000172e-01 8.211000000000000520e-01 8.297999999999999821e-01 8.315000000000000169e-01 8.345000000000000195e-01 8.415500000000000203e-01 8.442499999999999449e-01 8.529999999999999805e-01 8.589499999999999913e-01 8.698000000000000176e-01 8.838500000000000245e-01 9.034999999999999698e-01 9.381500000000000394e-01 9.721999999999999531e-01 9.900499999999999856e-01 9.965500000000000469e-01 9.985000000000000542e-01 9.991999999999999771e-01 9.994499999999999496e-01 9.995500000000000496e-01 9.997000000000000330e-01 9.997500000000000275e-01 9.997500000000000275e-01 9.998500000000000165e-01 9.999000000000000110e-01
7.711999999999999966e-01 7.725499999999999590e-01 7.716499999999999471e-01 7.740000000000000213e-01 7.760500000000000176e-01 7.762000000000000011e-01 7.790000000000000258e-01 7.795499999999999652e-01 7.814999999999999725e-01 7.814999999999999725e-01 7.852999999999999980e-01 7.861000000000000210e-01 7.883000000000000007e-01 7.891500000000000181e-01 7.919500000000000428e-01 7.961000000000000298e-01 7.957999999999999519e-01 7.955999999999999739e-01 7.993999999999999995e-01 8.029500000000000526e-01 8.074500000000000011e-01 8.084500000000000020e-01 8.143000000000000238e-01 8.138999999999999568e-01 8.178999999999999604e-01 8.237999999999999767e-01 8.264500000000000179e-01 8.343500000000000361e-01 8.374500000000000277e-01 8.406000000000000139e-01 8.479499999999999815e-01 8.517000000000000126e-01 8.615500000000000380e-01 8.676000000000000378e-01 8.807000000000000384e-01 8.969000000000000306e-01 9.172000000000000153e-01 9.491000000000000547e-01 9.789499999999999869e-01 9.917000000000000259e-01 9.971499999999999808e-01 9.989000000000000101e-01 9.994499999999999496e-01 9.995000000000000551e-01 9.997000000000000330e-01 9.997500000000000275e-01 9.998000000000000220e-01 9.999000000000000110e-01 9.999000000000000110e-01 9.999500000000000055e-01
7.767500000000000515e-01 7.772499999999999964e-01 7.768500000000000405e-01 7.792999999999999927e-01 7.812500000000000000e-01 7.812000000000000055e-01 7.842000000000000082e-01 7.858500000000000485e-01 7.873499999999999943e-01 7.872000000000000108e-01 7.909000000000000474e-01 7.913000000000000034e-01 7.938499999999999446e-01 7.943000000000000060e-01 7.976499999999999702e-01 8.013500000000000068e-01 8.011500000000000288e-01 8.007499999999999618e-01 8.041500000000000314e-01 8.073500000000000121e-01 8.122500000000000275e-01 8.131000000000000449e-01 8.189499999999999558e-01 8.185999999999999943e-01 8.225000000000000089e-01 8.278999999999999693e-01 8.307499999999999885e-01 8.389999999999999680e-01 8.424000000000000377e-01 8.455000000000000293e-01 8.532499999999999529e-01 8.585000000000000409e-01 8.712499999999999689e-01 8.773999999999999577e-01 8.914499999999999647e-01 9.089000000000000412e-01 9.287499999999999645e-01 9.596000000000000085e-01 9.835500000000000353e-01 9.932999999999999607e-01 9.975500000000000478e-01 9.992499999999999716e-01 9.995000000000000551e-01 9.997000000000000330e-01 9.997500000000000275e-01 9.998000000000000220e-01 9.999000000000000110e-01 9.999000000000000110e-01 9.999500000000000055e-01 9.999500000000000055e-01
7.814999999999999725e-01 7.815999999999999615e-01 7.813999999999999835e-01 7.842999999999999972e-01 7.858000000000000540e-01 7.869000000000000439e-01 7.896499999999999631e-01 7.906999999999999584e-01 7.923000000000000043e-01 7.926499999999999657e-01 7.959000000000000519e-01 7.965499999999999803e-01 7.986499999999999710e-01 7.995999999999999774e-01 8.031500000000000306e-01 8.064000000000000057e-01 8.054000000000000048e-01 8.054999999999999938e-01 8.093500000000000139e-01 8.118999999999999551e-01 8.174000000000000155e-01 8.176999999999999824e-01 8.228999999999999648e-01 8.233500000000000263e-01 8.268999999999999684e-01 8.331499999999999462e-01 8.362000000000000544e-01 8.436000000000000165e-01 8.483000000000000540e-01 8.524500000000000410e-01 8.600999999999999757e-01 8.659999999999999920e-01 8.790000000000000036e-01 8.872499999999999831e-01 9.016999999999999460e-01 9.200000000000000400e-01 9.407999999999999696e-01 9.688499999999999890e-01 9.866500000000000270e-01 9.944499999999999451e-01 9.980999999999999872e-01 9.994499999999999496e-01 9.996000000000000441e-01 9.997500000000000275e-01 9.998000000000000220e-01 9.999000000000000110e-01 9.999000000000000110e-01 9.999500000000000055e-01 9.999500000000000055e-01 9.999500000000000055e-01
7.858000000000000540e-01 7.861500000000000155e-01 7.867499999999999494e-01 7.885999999999999677e-01 7.903000000000000025e-01 7.923000000000000043e-01 7.951500000000000234e-01 7.954999999999999849e-01 7.962500000000000133e-01 7.983000000000000096e-01 8.002500000000000169e-01 8.030500000000000416e-01 8.036499999999999755e-01 8.050500000000000433e-01 8.078999999999999515e-01 8.111500000000000377e-01 8.105999999999999872e-01 8.103500000000000147e-01 8.147999999999999687e-01 8.166499999999999870e-01 8.213500000000000245e-01 8.221500000000000474e-01 8.274000000000000243e-01 8.275000000000000133e-01 8.318499999999999783e-01 8.383500000000000396e-01 8.404500000000000304e-01 8.486000000000000210e-01 8.531499999999999639e-01 8.581499999999999684e-01 8.665000000000000480e-01 8.728500000000000147e-01 8.861499999999999932e-01 8.963499999999999801e-01 9.114499999999999824e-01 9.300500000000000433e-01 9.503000000000000336e-01 9.758999999999999897e-01 9.891999999999999682e-01 9.954499999999999460e-01 9.987000000000000322e-01 9.995000000000000551e-01 9.997500000000000275e-01 9.997500000000000275e-01 9.999000000000000110e-01 9.999000000000000110e-01 9.999500000000000055e-01 9.999500000000000055e-01 9.999500000000000055e-01 1.000000000000000000e+00
7.903000000000000025e-01 7.912500000000000089e-01 7.914499999999999869e-01 7.937999999999999501e-01 7.950000000000000400e-01 7.973000000000000087e-01 7.999500000000000499e-01 8.007499999999999618e-01 8.017999999999999572e-01 8.031500000000000306e-01 8.053000000000000158e-01 8.081500000000000350e-01 8.086499999999999799e-01 8.100000000000000533e-01 8.141500000000000403e-01 8.159999999999999476e-01 8.154500000000000082e-01 8.144500000000000073e-01 8.191000000000000503e-01 8.206999999999999851e-01 8.253000000000000336e-01 8.273000000000000353e-01 8.316000000000000059e-01 8.320499999999999563e-01 8.365500000000000158e-01 8.426500000000000101e-01 8.453000000000000513e-01 8.536000000000000254e-01 8.575500000000000345e-01 8.637500000000000178e-01 8.722999999999999643e-01 8.801499999999999879e-01 8.927000000000000490e-01 9.050500000000000211e-01 9.212500000000000133e-01 9.401500000000000412e-01 9.599999999999999645e-01 9.813499999999999446e-01 9.911999999999999700e-01 9.964499999999999469e-01 9.989500000000000046e-01 9.996500000000000385e-01 9.997500000000000275e-01 9.998500000000000165e-01 9.999000000000000110e-01 9.999500000000000055e-01 9.999500000000000055e-01 9.999500000000000055e-01 1.000000000000000000e+00 1.000000000000000000e+00
7.950000000000000400e-01 7.957999999999999519e-01 7.956999999999999629e-01 7.986499999999999710e-01 8.000500000000000389e-01 8.024499999999999966e-01 8.062000000000000277e-01 8.062500000000000222e-01 8.067499999999999671e-01 8.079499999999999460e-01 8.103000000000000203e-01 8.125000000000000000e-01 8.145000000000000018e-01 8.152000000000000357e-01 8.186999999999999833e-01 8.199999999999999512e-01 8.196499999999999897e-01 8.189999999999999503e-01 8.226499999999999924e-01 8.249999999999999556e-01 8.298999999999999710e-01 8.322500000000000453e-01 8.356000000000000094e-01 8.356000000000000094e-01 8.413000000000000478e-01 8.464000000000000412e-01 8.496500000000000163e-01 8.577000000000000179e-01 8.620499999999999829e-01 8.689000000000000057e-01 8.778500000000000192e-01 8.870000000000000107e-01 8.997000000000000552e-01 9.134499999999999842e-01 9.302500000000000213e-01 9.495500000000000052e-01 9.686000000000000165e-01 9.850999999999999757e-01 9.930499999999999883e-01 9.971499999999999808e-01 9.991499999999999826e-01 9.997500000000000275e-01 9.998000000000000220e-01 9.999000000000000110e-01 9.999500000000000055e-01 9.999500000000000055e-01 9.999500000000000055e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.995999999999999774e-01 8.008999999999999453e-01 8.005499999999999838e-01 8.036999999999999700e-01 8.052500000000000213e-01 8.081000000000000405e-01 8.104500000000000037e-01 8.107499999999999707e-01 8.122500000000000275e-01 8.139499999999999513e-01 8.161000000000000476e-01 8.175499999999999989e-01 8.193000000000000282e-01 8.185499999999999998e-01 8.233000000000000318e-01 8.246999999999999886e-01 8.242500000000000382e-01 8.238999999999999657e-01 8.274500000000000188e-01 8.288499999999999757e-01 8.338999999999999746e-01 8.367499999999999938e-01 8.405000000000000249e-01 8.400499999999999634e-01 8.460999999999999632e-01 8.505000000000000338e-01 8.536500000000000199e-01 8.617500000000000160e-01 8.667000000000000259e-01 8.745500000000000496e-01 8.832999999999999741e-01 8.941500000000000004e-01 9.076499999999999568e-01 9.216999999999999638e-01 9.387499999999999734e-01 9.578499999999999792e-01 9.750499999999999723e-01 9.877500000000000169e-01 9.941499999999999782e-01 9.972999999999999643e-01 9.993999999999999551e-01 9.997500000000000275e-01 9.999000000000000110e-01 9.999500000000000055e-01 9.999500000000000055e-01 9.999500000000000055e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
