mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,100.0,0.0002721580000348754,6,1000,75.0,0.075
no_mux,100.0,0.0002721580000348754,7,1000,141.0,0.141
no_mux,100.0,0.0002721580000348754,8,1000,65.0,0.065
no_mux,100.0,0.0002721580000348754,9,1000,91.0,0.091
no_mux,100.0,0.0002721580000348754,10,1000,82.0,0.082
no_mux,100.0,0.0002721580000348754,11,1000,68.0,0.068
no_mux,100.0,0.0002721580000348754,12,1000,53.0,0.053
no_mux,100.0,0.0002721580000348754,13,1000,70.0,0.07
no_mux,100.0,0.0002721580000348754,14,1000,51.0,0.051
no_mux,100.0,0.0002721580000348754,15,1000,62.0,0.062
no_mux,100.0,0.0002721580000348754,16,1000,58.0,0.058
no_mux,100.0,0.0002721580000348754,17,1000,58.0,0.058
no_mux,100.0,0.0002721580000348754,18,1000,104.0,0.104
no_mux,100.0,0.0002721580000348754,19,1000,70.0,0.07
no_mux,100.0,0.0002721580000348754,20,1000,111.0,0.111
no_mux,100.0,0.0002721580000348754,21,1000,66.0,0.066
no_mux,100.0,0.0002721580000348754,22,1000,85.0,0.085
no_mux,100.0,0.0002721580000348754,23,1000,107.0,0.107
no_mux,100.0,0.0002721580000348754,24,1000,67.0,0.067
no_mux,100.0,0.0002721580000348754,25,1000,84.0,0.084
no_mux,100.0,0.0002721580000348754,26,1000,114.0,0.114
no_mux,100.0,0.0002721580000348754,27,1000,83.0,0.083
no_mux,100.0,0.0002721580000348754,28,1000,63.0,0.063
no_mux,100.0,0.0002721580000348754,29,1000,140.0,0.14
no_mux,100.0,0.0002721580000348754,30,1000,159.0,0.159
no_mux,100.0,0.0002721580000348754,31,1000,50.0,0.05
no_mux,100.0,0.0002721580000348754,32,1000,99.0,0.099
no_mux,100.0,0.0002721580000348754,33,1000,57.0,0.057
no_mux,100.0,0.0002721580000348754,34,1000,57.0,0.057
no_mux,100.0,0.0002721580000348754,35,1000,76.0,0.076
no_mux,100.0,0.0002721580000348754,36,1000,155.0,0.155
no_mux,100.0,0.0002721580000348754,37,1000,49.0,0.049
no_mux,100.0,0.0002721580000348754,38,1000,85.0,0.085
no_mux,100.0,0.0002721580000348754,39,1000,51.0,0.051
no_mux,100.0,0.0003174802103936401,0,1000,90.0,0.09
no_mux,100.0,0.0003174802103936401,1,1000,100.0,0.1
no_mux,100.0,0.0003174802103936401,2,1000,87.0,0.087
no_mux,100.0,0.0003174802103936401,3,1000,277.0,0.277
no_mux,100.0,0.0003174802103936401,4,1000,130.0,0.13
