mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
no_mux,100,1,0.0001,0,1000,271.66182007903365,0.04402310202745012,0.933965346958825,726.7238708428861,0.0009609609609609609
no_mux,100,1,0.0001,1,1000,380.1874645095239,0.0381653897914566,0.942751915312815,1000.4381583451443,0.001011011011011011
no_mux,100,1,0.0001,2,1000,456.4491511745807,0.0303273248309069,0.9545090127536399,1209.4584569033368,0.0009309309309309309
no_mux,100,1,0.0001,3,1000,471.5559368236232,0.03879380614395418,0.9418092907840688,1243.3257744515647,0.0009309309309309309
no_mux,100,1,0.0001,4,1000,392.62157376732813,0.03373729321466159,0.9493940601780076,1041.9381415657313,0.0008708708708708709
no_mux,100,1,0.0001,5,1000,402.8889776712451,0.026975545882826267,0.9595366811757605,1069.5068039972205,0.001051051051051051
no_mux,100,1,0.0001,6,1000,324.4192754682526,0.034409564031866444,0.9483856539522003,873.3690369883631,0.0013513513513513514
no_mux,100,1,0.0001,7,1000,322.3942616210514,0.03953604215879735,0.940695936761804,870.8593681453194,0.001031031031031031
no_mux,100,1,0.0001,8,1000,409.68056292565313,0.03294794099618514,0.9505780885057223,1089.8727576136278,0.0008608608608608609
no_mux,100,1,0.0001,9,1000,435.8856941268392,0.03648605484458913,0.9452709177331163,1158.8771799607298,0.0007207207207207207
no_mux,100,1,0.00012648552168552957,0,1000,319.2033413902143,0.03800742981688776,0.9429888552746684,853.557432895606,0.0012412412412412413
no_mux,100,1,0.00012648552168552957,1,1000,337.9282624420514,0.03584629724102249,0.9462305541384664,908.5567916132925,0.001051051051051051
no_mux,100,1,0.00012648552168552957,2,1000,361.8227186389781,0.04183829490960968,0.9372425576355854,972.7529580941762,0.0011711711711711711
no_mux,100,1,0.00012648552168552957,3,1000,324.3158343956189,0.03828529626507111,0.9425720556023932,876.7430691200705,0.0015015015015015015
no_mux,100,1,0.00012648552168552957,4,1000,359.33688010711535,0.04433385156594756,0.9334992226510787,965.5890086577706,0.0011811811811811813
