7.016621270781815602e-04 7.365134246351720234e-04 7.730957732130631400e-04 8.114951534738963201e-04 8.518018167072998912e-04 8.941104969509800849e-04 9.385206336471497036e-04 9.851366053582289936e-04 1.034067975091111430e-03 1.085429747806598713e-03 1.139342640719231579e-03 1.195933367022817455e-03 1.255334933708490610e-03 1.317686954175293886e-03 1.383135976368009192e-03 1.451835827213469876e-03 1.523947974164901846e-03 1.599641904704031696e-03 1.679095524692928235e-03 1.762495576511834573e-03
9.862499999999999600e-01 9.857124999999999915e-01 9.857375000000000442e-01 9.860250000000000403e-01 9.854500000000000481e-01 9.853874999999999718e-01 9.855874999999999497e-01 9.854625000000000190e-01 9.855874999999999497e-01 9.854374999999999662e-01 9.850624999999999520e-01 9.847749999999999559e-01 9.851124999999999465e-01 9.847124999999999906e-01 9.851250000000000284e-01 9.848000000000000087e-01 9.846000000000000307e-01 9.847624999999999851e-01 9.845125000000000126e-01 9.847000000000000197e-01
9.897500000000000187e-01 9.894374999999999698e-01 9.897000000000000242e-01 9.892750000000000155e-01 9.893125000000000391e-01 9.891999999999999682e-01 9.891874999999999973e-01 9.892625000000000446e-01 9.891999999999999682e-01 9.888375000000000359e-01 9.890875000000000083e-01 9.887000000000000233e-01 9.889750000000000485e-01 9.885000000000000453e-01 9.889499999999999957e-01 9.886125000000000052e-01 9.879875000000000185e-01 9.882999999999999563e-01 9.885249999999999870e-01 9.882999999999999563e-01
9.909750000000000503e-01 9.906875000000000542e-01 9.908624999999999794e-01 9.907249999999999668e-01 9.908124999999999849e-01 9.908124999999999849e-01 9.905625000000000124e-01 9.907375000000000487e-01 9.908249999999999558e-01 9.905000000000000471e-01 9.907124999999999959e-01 9.904249999999999998e-01 9.905125000000000179e-01 9.902999999999999581e-01 9.907624999999999904e-01 9.903625000000000345e-01 9.900875000000000092e-01 9.902999999999999581e-01 9.901999999999999691e-01 9.902499999999999636e-01
9.916749999999999732e-01 9.915749999999999842e-01 9.917000000000000259e-01 9.916249999999999787e-01 9.916000000000000369e-01 9.916000000000000369e-01 9.915125000000000188e-01 9.916749999999999732e-01 9.916249999999999787e-01 9.915125000000000188e-01 9.915625000000000133e-01 9.915500000000000425e-01 9.917124999999999968e-01 9.915749999999999842e-01 9.916249999999999787e-01 9.915249999999999897e-01 9.914500000000000535e-01 9.915749999999999842e-01 9.914749999999999952e-01 9.913999999999999480e-01
9.919499999999999984e-01 9.919000000000000039e-01 9.919750000000000512e-01 9.919124999999999748e-01 9.919875000000000220e-01 9.919375000000000275e-01 9.919249999999999456e-01 9.920499999999999874e-01 9.919499999999999984e-01 9.919124999999999748e-01 9.919750000000000512e-01 9.920124999999999638e-01 9.921124999999999527e-01 9.919750000000000512e-01 9.920999999999999819e-01 9.920124999999999638e-01 9.920750000000000401e-01 9.920624999999999583e-01 9.920499999999999874e-01 9.920124999999999638e-01
9.920499999999999874e-01 9.920124999999999638e-01 9.920624999999999583e-01 9.920124999999999638e-01 9.920375000000000165e-01 9.920750000000000401e-01 9.920624999999999583e-01 9.921124999999999527e-01 9.920750000000000401e-01 9.920624999999999583e-01 9.920750000000000401e-01 9.922125000000000528e-01 9.922750000000000181e-01 9.921875000000000000e-01 9.922499999999999654e-01 9.922999999999999599e-01 9.923499999999999543e-01 9.922750000000000181e-01 9.922999999999999599e-01 9.922999999999999599e-01
9.920624999999999583e-01 9.920499999999999874e-01 9.920624999999999583e-01 9.920250000000000457e-01 9.920875000000000110e-01 9.921250000000000346e-01 9.921250000000000346e-01 9.921499999999999764e-01 9.921499999999999764e-01 9.921375000000000055e-01 9.921250000000000346e-01 9.922125000000000528e-01 9.923374999999999835e-01 9.922374999999999945e-01 9.923874999999999780e-01 9.923999999999999488e-01 9.924500000000000544e-01 9.923874999999999780e-01 9.923750000000000071e-01 9.923750000000000071e-01
9.920624999999999583e-01 9.920624999999999583e-01 9.920875000000000110e-01 9.920624999999999583e-01 9.920999999999999819e-01 9.921250000000000346e-01 9.921250000000000346e-01 9.921624999999999472e-01 9.921499999999999764e-01 9.921375000000000055e-01 9.921250000000000346e-01 9.922250000000000236e-01 9.923374999999999835e-01 9.922625000000000473e-01 9.923999999999999488e-01 9.924125000000000307e-01 9.924749999999999961e-01 9.923999999999999488e-01 9.924125000000000307e-01 9.924125000000000307e-01
9.920750000000000401e-01 9.920624999999999583e-01 9.920875000000000110e-01 9.920624999999999583e-01 9.920999999999999819e-01 9.921250000000000346e-01 9.921250000000000346e-01 9.921624999999999472e-01 9.921499999999999764e-01 9.921375000000000055e-01 9.921250000000000346e-01 9.922250000000000236e-01 9.923374999999999835e-01 9.922625000000000473e-01 9.924125000000000307e-01 9.924250000000000016e-01 9.924749999999999961e-01 9.923999999999999488e-01 9.924125000000000307e-01 9.924374999999999725e-01
