7.016621270781815602e-04 7.365134246351720234e-04 7.730957732130631400e-04 8.114951534738963201e-04 8.518018167072998912e-04 8.941104969509800849e-04 9.385206336471497036e-04 9.851366053582289936e-04 1.034067975091111430e-03 1.085429747806598713e-03 1.139342640719231579e-03 1.195933367022817455e-03 1.255334933708490610e-03 1.317686954175293886e-03 1.383135976368009192e-03 1.451835827213469876e-03 1.523947974164901846e-03 1.599641904704031696e-03 1.679095524692928235e-03 1.762495576511834573e-03
9.641250000000000098e-01 9.635749999999999593e-01 9.639250000000000318e-01 9.640499999999999625e-01 9.636875000000000302e-01 9.634374999999999467e-01 9.636875000000000302e-01 9.633625000000000105e-01 9.632874999999999632e-01 9.634000000000000341e-01 9.631625000000000325e-01 9.629750000000000254e-01 9.630250000000000199e-01 9.625375000000000458e-01 9.629124999999999490e-01 9.627499999999999947e-01 9.627124999999999710e-01 9.627000000000000002e-01 9.622125000000000261e-01 9.623749999999999805e-01
9.668124999999999636e-01 9.666500000000000092e-01 9.666000000000000147e-01 9.664249999999999785e-01 9.662749999999999950e-01 9.662874999999999659e-01 9.661999999999999478e-01 9.662625000000000242e-01 9.661750000000000060e-01 9.659624999999999462e-01 9.661750000000000060e-01 9.659874999999999989e-01 9.658375000000000155e-01 9.657375000000000265e-01 9.660125000000000517e-01 9.659750000000000281e-01 9.656500000000000083e-01 9.656875000000000320e-01 9.657000000000000028e-01 9.656249999999999556e-01
9.675624999999999920e-01 9.675249999999999684e-01 9.673749999999999849e-01 9.675000000000000266e-01 9.673374999999999613e-01 9.673125000000000195e-01 9.670999999999999597e-01 9.674000000000000377e-01 9.673125000000000195e-01 9.670125000000000526e-01 9.672749999999999959e-01 9.671250000000000124e-01 9.670999999999999597e-01 9.668624999999999581e-01 9.671874999999999778e-01 9.671499999999999542e-01 9.668999999999999817e-01 9.670125000000000526e-01 9.669874999999999998e-01 9.669250000000000345e-01
9.679750000000000298e-01 9.678499999999999881e-01 9.678624999999999590e-01 9.678999999999999826e-01 9.677999999999999936e-01 9.678124999999999645e-01 9.676875000000000338e-01 9.679375000000000062e-01 9.678250000000000464e-01 9.676875000000000338e-01 9.677249999999999464e-01 9.677750000000000519e-01 9.677375000000000282e-01 9.676624999999999810e-01 9.677499999999999991e-01 9.677375000000000282e-01 9.676124999999999865e-01 9.676624999999999810e-01 9.676375000000000393e-01 9.675375000000000503e-01
9.680125000000000535e-01 9.679875000000000007e-01 9.680125000000000535e-01 9.680250000000000243e-01 9.679875000000000007e-01 9.679624999999999480e-01 9.679499999999999771e-01 9.680250000000000243e-01 9.679750000000000298e-01 9.678750000000000409e-01 9.679499999999999771e-01 9.679375000000000062e-01 9.679750000000000298e-01 9.678875000000000117e-01 9.679624999999999480e-01 9.679124999999999535e-01 9.678875000000000117e-01 9.679624999999999480e-01 9.678875000000000117e-01 9.678375000000000172e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.679875000000000007e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.679750000000000298e-01 9.679750000000000298e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.679750000000000298e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679875000000000007e-01 9.680374999999999952e-01 9.680125000000000535e-01 9.679624999999999480e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680125000000000535e-01 9.679875000000000007e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
9.680499999999999661e-01 9.679999999999999716e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.679999999999999716e-01 9.680374999999999952e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01 9.679999999999999716e-01 9.679999999999999716e-01 9.680125000000000535e-01 9.680125000000000535e-01 9.680499999999999661e-01 9.680250000000000243e-01 9.680250000000000243e-01 9.680374999999999952e-01 9.680250000000000243e-01 9.680125000000000535e-01
